"interface_id","hostname","private_name","primary","interface","designation","mac","ipv4","ipv6"
"190","cn0007","cn0007-e0","0","eth0","e0","38:EA:A7:12:34:70","10.1.20.7","NULL"
"191","cn0007","cn0007-ilo","0","iLO4","ilo","9C:B6:54:AD:F6:04","10.4.20.7","NULL"
"192","cn0008","cn0008-e0","0","eth0","e0","38:EA:A7:12:33:B0","10.1.20.8","NULL"
"193","cn0008","cn0008-ilo","0","iLO4","ilo","9C:B6:54:AE:0A:24","10.4.20.8","NULL"
"194","cn0009","cn0009-e0","0","eth0","e0","38:EA:A7:12:35:50","10.1.20.9","NULL"
"195","cn0009","cn0009-ilo","0","iLO4","ilo","9C:B6:54:AE:07:C8","10.4.20.9","NULL"
"196","cn0010","cn0010-e0","0","eth0","e0","38:EA:A7:12:35:00","10.1.20.10","NULL"
"197","cn0010","cn0010-ilo","0","iLO4","ilo","9C:B6:54:AD:FA:60","10.4.20.10","NULL"
"198","cn0011","cn0011-e0","0","eth0","e0","38:EA:A7:12:33:D0","10.1.20.11","NULL"
"199","cn0011","cn0011-ilo","0","iLO4","ilo","9C:B6:54:AD:F9:80","10.4.20.11","NULL"
"200","cn0012","cn0012-e0","0","eth0","e0","38:EA:A7:12:34:A4","10.1.20.12","NULL"
"201","cn0012","cn0012-ilo","0","iLO4","ilo","9C:B6:54:AE:01:F8","10.4.20.12","NULL"
"202","cn0013","cn0013-e0","0","eth0","e0","38:EA:A7:12:36:B8","10.1.20.13","NULL"
"203","cn0013","cn0013-ilo","0","iLO4","ilo","9C:B6:54:AD:FA:B4","10.4.20.13","NULL"
"204","cn0014","cn0014-e0","0","eth0","e0","38:EA:A7:12:36:68","10.1.20.14","NULL"
"205","cn0014","cn0014-ilo","0","iLO4","ilo","9C:B6:54:AE:02:44","10.4.20.14","NULL"
"206","cn0015","cn0015-e0","0","eth0","e0","38:EA:A7:12:36:B4","10.1.20.15","NULL"
"207","cn0015","cn0015-ilo","0","iLO4","ilo","9C:B6:54:AE:09:68","10.4.20.15","NULL"
"208","cn0016","cn0016-e0","0","eth0","e0","38:EA:A7:12:34:FC","10.1.20.16","NULL"
"209","cn0016","cn0016-ilo","0","iLO4","ilo","9C:B6:54:AD:F3:20","10.4.20.16","NULL"
"210","cn0017","cn0017-e0","0","eth0","e0","38:EA:A7:12:36:5C","10.1.20.17","NULL"
"211","cn0017","cn0017-ilo","0","iLO4","ilo","9C:B6:54:AE:08:A0","10.4.20.17","NULL"
"212","cn0018","cn0018-e0","0","eth0","e0","38:EA:A7:12:3A:60","10.1.20.18","NULL"
"213","cn0018","cn0018-ilo","0","iLO4","ilo","9C:B6:54:AD:FB:9C","10.4.20.18","NULL"
"214","cn0019","cn0019-e0","0","eth0","e0","38:EA:A7:12:35:D4","10.1.20.19","NULL"
"215","cn0019","cn0019-ilo","0","iLO4","ilo","9C:B6:54:AD:FF:E0","10.4.20.19","NULL"
"216","cn0020","cn0020-e0","0","eth0","e0","38:EA:A7:12:39:98","10.1.20.20","NULL"
"217","cn0020","cn0020-ilo","0","iLO4","ilo","9C:B6:54:AE:02:34","10.4.20.20","NULL"
"218","cn0021","cn0021-e0","0","eth0","e0","38:EA:A7:12:35:28","10.1.20.21","NULL"
"219","cn0022","cn0022-e0","0","eth0","e0","38:EA:A7:12:34:74","10.1.20.22","NULL"
